dblp,journals/vldb/LometS97,Concurrency and Recovery for Index Trees,David B. Lomet, Betty Salzberg,VLDB J.,1997,,,,,,,
acm,336577,A goal-driven auto-configuration tool for the distributed workflow management system mentorlite,Michael Gillmann, Jeanine Weissenfels, German Shegalov, Wolfgang Wonner, Gerhard Weikum,International Conference on Management of Data,2000,,,,
dblp,journals/sigmod/Cetintemel01,On the Academic Interview Circuit: An End-to-End Discussion,Ugur Çetintemel,SIGMOD Record,2001,,,,,,,,
acm,637433,An early look at XQuery,Andrew Eisenberg, Jim Melton,ACM SIGMOD Record,2002,,,,,,,
acm,671696,Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,Surajit Chaudhuri, Gerhard Weikum,Very Large Data Bases,2000,,,,,,,
acm,335388,LOF: identifying density-based local outliers,Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, J&#246,rg Sander,International Conference on Management of Data,2000,,,,
acm,304230,A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999,,,,,,,,
acm,872772,Rights protection for relational data,Radu Sion, Mikhail Atallah, Sunil Prabhakar,International Conference on Management of Data,2003,,,,,,
acm,604268,ADAM: a testbed for exploring the use of data mining in intrusion detection,Daniel Barbar&#225,, Julia Couto, Sushil Jajodia, Ningning Wu,ACM SIGMOD Record,2001,,,,
acm,672989,A Top-Down Approach for Two Level Serializability,M. Ouzzani, M. A. Atroun, N. L. Belkhodja,Very Large Data Bases,1994,,,,,,
acm,375670,Space-efficient online computation of quantile summaries,Michael Greenwald, Sanjeev Khanna,International Conference on Management of Data,2001,,,,,,,
acm,276354,Microsoft universal data access platform,Jos&#233, A. Blakeley, Michael J. Pizzo,International Conference on Management of Data,1998,,,,,,
dblp,journals/sigmod/Goethals02,Data Warehousing and Business Intelligence for E-Commerce - Book Review,Frank G. Goethals,SIGMOD Record,2002,,,,,,,,
dblp,conf/vldb/SchindlerAG03,Lachesis: Robust Database Storage Management Based on Device-specific Performance Characteristics,Anastassia Ailamaki, Jiri Schindler, Gregory R. Ganger,VLDB,2003,,,,,,
dblp,journals/tods/DattaVCK99,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. VanderMeer,ACM Trans. Database Syst.,1999,,,,,
dblp,conf/vldb/Taylor00,Concurrency in the Data Warehouse,Richard Taylor,VLDB,2000,,,,,,,,
dblp,conf/vldb/LabioYCGW00,Performance Issues in Incremental Warehouse Maintenance,Hector Garcia-Molina, Wilburt Labio, Yingwei Cui, Jennifer Widom, Jun Yang,VLDB,2000,,,,
acm,271082,Integrating dynamically-fetched external information into a DBMS for semistructured data,Jason McHugh, Jennifer Widom,ACM SIGMOD Record,1997,,,,,,,
dblp,journals/tods/Chomicki03,Preference formulas in relational queries,Jan Chomicki,ACM Trans. Database Syst.,2003,,,,,,,,
acm,381860,Advances in real-time database systems research,Azer Bestavros,ACM SIGMOD Record,1996,,,,,,,,
acm,671188,On Optimal Node Splitting for R-trees,Yv&#225,n J. Garc&#237,a, Mario A. Lopez, Scott T. Leutenegger,Very Large Data Bases,1998,,,,
dblp,journals/sigmod/GottlobKP03,XPath Processing in a Nutshell,Georg Gottlob, Christoph Koch, Reinhard Pichler,SIGMOD Record,2003,,,,,,
acm,673631,DWMS: Data Warehouse Management System,Narendra Mohan,Very Large Data Bases,1996,,,,,,,,
dblp,conf/vldb/SrinivasaK03,A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,Srinath Srinivasa, Sujit Kumar,VLDB,2003,,,,,,,
acm,672005,Manipulating Interpolated Data is Easier than You Thought,St&#233,phane Grumbach, Philippe Rigaux, Luc Segoufin,Very Large Data Bases,2000,,,,,
acm,673464,Applying Data Mining Techniques to a Health Insurance Information System,Marisa S. Viveros, John P. Nearhos, Michael J. Rothman,Very Large Data Bases,1996,,,,,,
acm,375677,Filtering algorithms and implementation for very fast publish/subscribe systems,Fran&#231,oise Fabret, H. Arno Jacobsen, Fran&#231,ois Llirbat, Jo&#259,o Pereira, Kenneth A. Ross, Dennis Shasha,International Conference on Management of Data,2001
acm,223787,Efficient optimistic concurrency control using loosely synchronized clocks,Atul Adya, Robert Gruber, Barbara Liskov, Umesh Maheshwari,International Conference on Management of Data,1995,,,,,
acm,375739,Content integration for e-business,Michael Stonebraker, Joseph M. Hellerstein,International Conference on Management of Data,2001,,,,,,,
acm,673484,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang,Very Large Data Bases,1996,,,,,,
dblp,conf/vldb/IlyasAE02,Joining Ranked Inputs in Practice,Walid G. Aref, Ihab F. Ilyas, Ahmed K. Elmagarmid,VLDB,2002,,,,,,
acm,776989,An approach to confidence based page ranking for user oriented Web search,Debajyoti Mukhopadhyay, Debasis Giri, Sanasam Ranbir Singh,ACM SIGMOD Record,2003,,,,,,
dblp,conf/vldb/Meier95,Providing Database Migration Tools - A Practicioner's Approach,Andreas Meier,VLDB,1995,,,,,,,,
dblp,conf/vldb/DiaoLCT00,Toward Learning Based Web Query Processing,Yanlei Diao, Hongjun Lu, Zengping Tian, Songting Chen,VLDB,2000,,,,,
dblp,conf/vldb/AbiteboulABBNM03,Schema-driven Customization of Web Services,Bernd Amann, Serge Abiteboul, Jérôme Baumgarten, Omar Benjelloun, Tova Milo, Frederic Dang Ngoc,VLDB,2003,,,
dblp,journals/sigmod/SchmidtWKFCMB01,Why And How To Benchmark XML Databases,Ralph Busse, Michael J. Carey, Daniela Florescu, Martin L. Kersten, Albrecht Schmidt, Florian Waas, Ioana Manolescu,SIGMOD Record,2001,,
acm,273253,Materialized views and data warehouses,Nick Roussopoulos,ACM SIGMOD Record,1998,,,,,,,,
dblp,conf/sigmod/ReveszCKLLW00,The MLPQ/GIS Constraint Database System,Yuguo Liu, Yiming Li, Pradip Kanjamala, Rui Chen, Yonghui Wang, Peter Z. Revesz,SIGMOD Conference,2000,,,
acm,190638,Metadata in video databases,Ramesh Jain, Arun Hampapur,ACM SIGMOD Record,1994,,,,,,,
dblp,conf/sigmod/KalnisNOPT02,An adaptive peer-to-peer network for distributed caching of OLAP results,Beng Chin Ooi, Dimitris Papadias, Kian-Lee Tan, Wee Siong Ng, Panos Kalnis,SIGMOD Conference,2002,,,,
acm,756643,"Physical Data Independence, Constraints, and Optimization with Universal Plans",Alin Deutsch, Lucian Popa, Val Tannen,Very Large Data Bases,1999,,,,,,
dblp,conf/vldb/KumarRRT99,Extracting Large-Scale Knowledge Bases from the Web,Andrew Tomkins, Prabhakar Raghavan, Ravi Kumar, Sridhar Rajagopalan,VLDB,1999,,,,,
dblp,conf/vldb/ChaudhuriS01,Storage and Retrieval of XML Data Using Relational Databases,Surajit Chaudhuri, Kyuseok Shim,VLDB,2001,,,,,,,
acm,765240,Progressive evaluation of nested aggregate queries,Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi,The VLDB Journal &mdash, The International Journal on Very Large Data Bases,2000,,,,,
acm,335383,Finding generalized projected clusters in high dimensional spaces,Charu C. Aggarwal, Philip S. Yu,International Conference on Management of Data,2000,,,,,,,
dblp,journals/vldb/TempletonHMB95,InterViso: Dealing With the Complexity of Federated Database Access,Edward Maros, Darrel J. Van Buer, Marjorie Templeton, Herbert Henley,VLDB J.,1995,,,,,
dblp,journals/sigmod/Liu02,Editor's Notes,Ling Liu,SIGMOD Record,2002,,,,,,,,
dblp,journals/tods/SalemGS94,Altruistic Locking,Jeannie Shands, Kenneth Salem, Hector Garcia-Molina,ACM Trans. Database Syst.,1994,,,,,,
dblp,journals/sigmod/KramerNKRLKLZ97,WWW-UDK: A Web-based Environmental Meta-Information System,Rudolf Legat, Arne Koschel, Andree Keitel, Ralf Kramer, Claudia Rolker, Ralf Nikolai, Peter C. Lockemann, Konrad Zirm,SIGMOD Record,1997,
acm,503100,A case for dynamic view management,Yannis Kotidis, Nick Roussopoulos,ACM Transactions on Database Systems (TODS),2001,,,,,,,
acm,603884,Continuous queries over data streams,Shivnath Babu, Jennifer Widom,ACM SIGMOD Record,2001,,,,,,,
dblp,conf/sigmod/Shasha97,"Lessons from Wall Street: Case Studies in Configuration, Tuning, and Distribution (Tutorial)",Dennis Shasha,SIGMOD Conference,1997,,,,,,,,
dblp,journals/sigmod/RossFS02,Reminiscences on Influential Papers,Kenneth A. Ross, Kyuseok Shim, Mary F. Fernandez,SIGMOD Record,2002,,,,,,
acm,672360,Caching Technologies for Web Applications,C. Mohan,Very Large Data Bases,2001,,,,,,,,
acm,671505,Optimal Grid-Clustering: Towards Breaking the Curse of Dimensionality in High-Dimensional Clustering,Alexander Hinneburg, Daniel A. Keim,Very Large Data Bases,1999,,,,,,,
acm,872854,STREAM: the stanford stream data manager (demonstration description),Arvind Arasu, Brian Babcock, Shivnath Babu, Mayur Datar, Keith Ito, Itaru Nishizawa, Justin Rosenstein, Jennifer Widom,International Conference on Management of Data,2003,
dblp,journals/sigmod/PaepckeGRC00,Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,Gerard Rodríguez-Mulà, Andreas Paepcke, Junghoo Cho, Hector Garcia-Molina,SIGMOD Record,2000,,,,,
acm,672030,A Database Index to Large Biological Sequences,Ela Hunt, Malcolm P. Atkinson, Robert W. Irving,Very Large Data Bases,2001,,,,,,
dblp,journals/sigmod/LawderK01,Querying Multi-dimensional Data Indexed Using the Hilbert Space-filling Curve,Peter J. H. King, Jonathan K. Lawder,SIGMOD Record,2001,,,,,,,
acm,253379,DEVise (demo abstract): integrated querying and visual exploration of large datasets,M. Livny, R. Ramakrishnan, K. Beyer, G. Chen, D. Donjerkovic, S. Lawande, J. Myllymaki, K. Wenger,International Conference on Management of Data,1997,
dblp,conf/sigmod/Kennamer98,Microsoft.com: A High-Scale Data Management and Transaction Processing Solution,Sherri Kennamer,SIGMOD Conference,1998,,,,,,,,
acm,959070,The Cougar Project: a work-in-progress report,Alan Demers, Johannes Gehrke, Rajmohan Rajaraman, Niki Trigoni, Yong Yao,ACM SIGMOD Record,2003,,,,
dblp,conf/vldb/Galindo-LegariaPK94,"Fast, Randomized Join-Order Selection - Why Use Transformations?",Arjan Pellenkoft, César A. Galindo-Legaria, Martin L. Kersten,VLDB,1994,,,,,,
acm,671002,A Language for Manipulating Arrays,Arunprasad P. Marathe, Kenneth Salem,Very Large Data Bases,1997,,,,,,,
dblp,conf/sigmod/ProcopiucJAM02,A Monte Carlo algorithm for fast projective clustering,Michael Jones, Pankaj K. Agarwal, T. M. Murali, Cecilia Magdalena Procopiuc,SIGMOD Conference,2002,,,,,
acm,564754,Efficient execution of joins in a star schema,Andreas Weininger,International Conference on Management of Data,2002,,,,,,,,
acm,959077,Book reviews,,ACM SIGMOD Record,2003,,,,,,,,
dblp,journals/vldb/RamanRH00,Online dynamic reordering,"Bhaskaran Raman, Joseph M. Hellerstein, Vijayshankar Raman",VLDB J.,2000,,,,,,,,
dblp,journals/vldb/MaratheS02,Query processing techniques for arrays,"Arunprasad P. Marathe, Kenneth Salem",VLDB J.,2002,,,,,,,,
dblp,journals/sigmod/RamDD99,Distributed Transactions in Practice,"Lyman Do, Pamela Drew, Prabhu Ram",SIGMOD Record,1999,,,,,,,,
dblp,journals/sigmod/NorrieBSW94,The Database Research Group at ETH Zurich,"Hans-Jörg Schek, Moira C. Norrie, Gerhard Weikum, Stephen Blott",SIGMOD Record,1994,,,,,,,,
acm,276386,The multidimensional database system RasDaMan,"P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann",International Conference on Management of Data,1998,,,,,,,,
acm,381889,Workshop report: the first international workshop on active and real-time database systems (ARTDB-95),"Mikael Berndtsson, J&#246;rgen Hansson",ACM SIGMOD Record,1996,,,,,,,,
acm,335376,Turbo-charging vertical mining of large databases,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",International Conference on Management of Data,2000,,,,,,,,
acm,502031,Probabilistic object bases,"Thomas Eiter, James J. Lu, Thomas Lukasiewicz, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS),2001,,,,,,,,
acm,375773,"Fault-tolerant, load-balancing queries in telegraph","Mehul A. Shah, Sirish Chandrasekaran",International Conference on Management of Data,2001,,,,,,,,
acm,673309,Type Classification of Semi-Structured Documents,"Markus Tresch, Neal Palmer, Allen Luniewski",Very Large Data Bases,1995,,,,,,,,
dblp,conf/vldb/DoR02,COMA - A System for Flexible Combination of Schema Matching Approaches,"Erhard Rahm, Hong Hai Do",VLDB,2002,,,,,,,,
acm,191949,Relaxed transaction processing,"Munindar P. Singh, Christine Tomlinson, Darrell Woelk",International Conference on Management of Data,1994,,,,,,,,
acm,276332,Enhanced hypertext categorization using hyperlinks,"Soumen Chakrabarti, Byron Dom, Piotr Indyk",International Conference on Management of Data,1998,,,,,,,,
dblp,conf/sigmod/ZouS96,On-line Reorganization of Sparsely-populated B+trees,"Betty Salzberg, Chendong Zou",SIGMOD Conference,1996,,,,,,,,
dblp,conf/sigmod/CluetDSS98,Your Mediators Need Data Conversion!,"Sophie Cluet, Katarzyna Smaga, Jérôme Siméon, Claude Delobel",SIGMOD Conference,1998,,,,,,,,
acm,565120,The design of a retrieval technique for high-dimensional data on tertiary storage,"Ratko Orlandic, Jack Lukaszuk, Craig Swietlik",ACM SIGMOD Record,2002,,,,,,,,
dblp,conf/sigmod/ShanmugasundaramNSR99,Efficient Concurrency Control for Broadcast Environments,"Arvind Nithrakashyap, Rajendran M. Sivasankaran, Jayavel Shanmugasundaram, Krithi Ramamritham",SIGMOD Conference,1999,,,,,,,,
dblp,journals/tods/KrishnakumarB94,Bounded Ignorance: A Technique for Increasing Concurrency in a Replicated System,"Arthur J. Bernstein, Narayanan Krishnakumar",ACM Trans. Database Syst.,1994,,,,,,,,
dblp,journals/tods/MehrotraRKS98,Ensuring Consistency in Multidatabases by Preserving Two-Level Serializability,Sharad Mehrotra,ACM Trans. Database Syst.,1998,,,,,,,,
dblp,conf/sigmod/AdyaGLM95,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari",SIGMOD Conference,1995,,,,,,,,
dblp,conf/vldb/ChatziantoniouR96,Querying Multiple Features of Groups in Relational Databases,"Damianos Chatziantoniou, Kenneth A. Ross",VLDB,1996,,,,,,,,
dblp,conf/vldb/SeshadriLR96,The Design and Implementation of a Sequence Database System,"Raghu Ramakrishnan, Miron Livny, Praveen Seshadri",VLDB,1996,,,,,,,,
acm,304231,Hypertext databases and data mining,Soumen Chakrabarti,International Conference on Management of Data,1999,,,,,,,,
acm,671511,On Efficiently Implementing SchemaSQL on an SQL Database System,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",Very Large Data Bases,1999,,,,,,,,
dblp,journals/sigmod/Aberer02c,Book Review Column,Karl Aberer,SIGMOD Record,2002,,,,,,,,
acm,375774,Snowball: a prototype system for extracting relations from large text collections,"Eugene Agichtein, Luis Gravano, Jeff Pavel, Viktoriya Sokolova, Aleksandr Voskoboynik",International Conference on Management of Data,2001,,,,,,,,
acm,672356,Approximate Query Processing: Taming the TeraBytes,"Minos N. Garofalakis, Phillip B. Gibbon",Very Large Data Bases,2001,,,,,,,,
dblp,conf/vldb/CherniackFZ01,Data Management for Pervasive Computing,"Mitch Cherniack, Stanley B. Zdonik, Michael J. Franklin",VLDB,2001,,,,,,,,
dblp,conf/sigmod/MumickP94,Implementation of Magic-sets in a Relational Database System,"Inderpal Singh Mumick, Hamid Pirahesh",SIGMOD Conference,1994,,,,,,,,
acm,671867,Panel: Is Generic Metadata Management Feasible?,"Philip A. Bernstein, Laura M. Haas, Matthias Jarke, Erhard Rahm, Gio Wiederhold",Very Large Data Bases,2000,,,,,,,,
dblp,conf/vldb/CeriFP99,"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","Stefano Paraboschi, Piero Fraternali, Stefano Ceri",VLDB,1999,,,,,,,,
dblp,journals/sigmod/Alonso95a,Trade Press News,Rafael Alonso,SIGMOD Record,1995,,,,,,,,
acm,603870,XQuery formal semantics state and challenges,Peter Fankhauser,ACM SIGMOD Record,2001,,,,,,,,
dblp,conf/vldb/BaulierBGJGKKMMNNRSS98,DataBlitz: A High Performance Main-Memory Storage Manager,"P. P. S. Narayan, S. Joshi, M. Nemeth, Abraham Silberschatz, Henry F. Korth, A. Khivesera, Jerry Baulier, S. Sudarshan, Philip Bohannon, Peter McIlroy, J. Miller, S. Gogate, Rajeev Rastogi, C. Gupta",VLDB,1998,,,,,,,,
dblp,journals/sigmod/AshishK97,Wrapper Generation for Semi-structured Internet Sources,"Craig A. Knoblock, Naveen Ashish",SIGMOD Record,1997,,,,,,,,
dblp,conf/sigmod/MinPC03,XPRESS: A Queriable Compression for XML Data,"Myung-Jae Park, Jun-Ki Min, Chin-Wan Chung",SIGMOD Conference,2003,,,,,,,,
dblp,conf/sigmod/ChristophidesCS00,On Wrapping Query Languages and Efficient XML Integration,"Jérôme Siméon, Vassilis Christophides, Sophie Cluet",SIGMOD Conference,2000,,,,,,,,
acm,764222,Update propagation strategies to improve freshness in lazy master replicated databases,"Esther Pacitti, Eric Simon",The VLDB Journal &mdash, The International Journal on Very Large Data Bases,2000,,,,,,,
acm,672363,MV3R-Tree: A Spatio-Temporal Access Method for Timestamp and Interval Queries,"Yufei Tao, Dimitris Papadias",Very Large Data Bases,2001,,,,,,,,
acm,564786,XmdvTool: visual interactive data exploration and trend discovery of high-dimensional data sets,"Elke A. Rundensteiner, Matthew O. Ward, Jing Yang, Punit R. Doshi",International Conference on Management of Data,2002,,,,,,,,
acm,872786,Extended wavelets for multiple measures,"Antonios Deligiannakis, Nick Roussopoulos",International Conference on Management of Data,2003,,,,,,,,
dblp,journals/tods/GravanoGT99,GlOSS: Text-Source Discovery over the Internet,"Hector Garcia-Molina, Luis Gravano, Anthony Tomasic",ACM Trans. Database Syst.,1999,,,,,,,,
dblp,journals/sigmod/ShethGJRSWW96,Report from the NSF Workshop on Workflow and Process Automation in Information Systems,"Dimitrios Georgakopoulos, Stef Joosten, Marek Rusinkiewicz, Alexander L. Wolf, Walt Scacchi, Amit P. Sheth, Jack C. Wileden",SIGMOD Record,1996,,,,,,,,
dblp,conf/sigmod/Epstein95,Keynote Address,Robert S. Epstein,SIGMOD Conference,1995,,,,,,,,
acm,565130,Data mining: concepts and techniques by Jiawei Han and Micheline Kamber,"Fernando Berzal, Nicolf&#225;s Mat&#237;n",ACM SIGMOD Record,2002,,,,,,,,
dblp,conf/vldb/StohrMR00,Multi-Dimensional Database Allocation for Parallel Data Warehouses,"Holger Märtens, Erhard Rahm, Thomas Stöhr",VLDB,2000,,,,,,,,
dblp,conf/vldb/PalpanasSCP02,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",VLDB,2002,,,,,,,,
acm,672007,"Social, Educational, and Governmental Change Enabled through Information Technology","Krithi Ramamritham, Yeha El Atfi, Carlo Batini, Michael Eitan, Valerie Gregg, D. B. Phatak",Very Large Data Bases,2000,,,,,,,,
acm,671839,Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,,,,,,,,
acm,223866,VERSANT replication: supporting fault-tolerant object databases,"Yuh-Ming Shyy, H. Stephen Au-Yeung, C. P. Chou",International Conference on Management of Data,1995,,,,,,,,
dblp,conf/sigmod/Cattell94,ODMG-93: A Standard for Object-Oriented DBMSs,R. G. G. Cattell,SIGMOD Conference,1994,,,,,,,,
acm,671007,Principles of Optimally Placing Data in Tertiary Storage Libraries,"Stavros Christodoulakis, Peter Triantafillou, Fenia Zioga",Very Large Data Bases,1997,,,,,,,,
dblp,conf/vldb/ChaudhuriGN03,Primitives for Workload Summarization and Implications for SQL,"Surajit Chaudhuri, Prasanna Ganesan, Vivek R. Narasayya",VLDB,2003,,,,,,,,
dblp,conf/sigmod/MattosM95,An Overview of the Emerging Third-Generation SQL Standard (Tutorial),"Nelson Mendonça Mattos, Jim Melton",SIGMOD Conference,1995,,,,,,,,
dblp,journals/sigmod/BerndtssonH96,Workshop Report: The First International Workshop on Active and Real-Time Database Systems (ARTDB-95),"Mikael Berndtsson, Jörgen Hansson",SIGMOD Record,1996,,,,,,,,
dblp,conf/vldb/PapakonstantinouAG96,Object Fusion in Mediator Systems,"Yannis Papakonstantinou, Hector Garcia-Molina, Serge Abiteboul",VLDB,1996,,,,,,,,
acm,672040,Cache Portal: Technology for Accelerating Database-driven e-commerce Web Sites,"Wen-Syan Li, K. Sel&#231;uk Candan, Wang-Pin Hsiung, Oliver Po, Divyakant Agrawal, Qiong Luo, Wei-Kuang Waine Huang, Yusuf Akca, Cemal Yilmaz",Very Large Data Bases,2001,,,,,,,,
dblp,conf/vldb/LometT95,Redo Recovery after System Crashes,"Mark R. Tuttle, David B. Lomet",VLDB,1995,,,,,,,,
acm,671198,Improving Adaptable Similarity Query Processing by Using Approximations,"Mihael Ankerst, Bernhard Braunm&#252;ller, Hans-Peter Kriegel, Thomas Seidl",Very Large Data Bases,1998,,,,,,,,
dblp,journals/sigmod/Aberer01,Advanced XML Data Processing - Guest Editor's Introduction,Karl Aberer,SIGMOD Record,2001,,,,,,,,
